director_id,director_name
119,Akhil Paul
120,Akihiko Yamashita
121,Akin Omotoso
122,Akira Saitoh
123,Akiva Goldsman
124,Akiva Schaffer
125,Akiyuki Shinbo
126,Akram Farouk
127,Akshay Akkineni
128,Akshay Sanjeev Chavan
129,Akshay Shankar
130,Al Campbell
131,Alaa Eddine Aljem
132,Alain Brunard
133,Alain Darborg
134,Alain Desrochers
135,Alain Gagnol
136,Alan Alda
137,Alan Hicks
138,Alan J. Pakula
139,Alan Mak
140,Alan Parker
141,Alan Poul
142,Alan Rickman
143,Alan Yang
144,Alana Waksman
145,Alankrita Shrivastava
146,Alastair Fothergill
147,Alban Teurlai
148,Albert Hughes
149,Albert Sharpe
150,Alberto Arnaut Estrada
151,Alberto Rodríguez
152,Alejandra Márquez Abella
153,Alejandro Agresti
154,Alejandro De Grazia
155,Alejandro Doria
156,Alejandro Fernández Almendras
157,Alejandro G. Iñárritu
158,Alejandro Hartmann
159,Alejandro Lozano
160,Alejandro Martinez-Beltran
161,Alejandro Montiel
162,Alejandro Ruax
163,Aleksey German
164,Aleksey Tsitsilin
165,Alessandra de Rossi
166,Alessandro Angulo
167,Alessandro Pepe
168,Alessio Cremonini
169,Alethea Jones
170,Alex Brewer
171,Alex Burunova
172,Alex Coletti
173,Alex Díaz
174,Alex Garland
175,Alex Gibney
176,Alex Holmes
177,Alex Infascelli
178,Alex Israel
179,Alex Law
180,Alex Lehmann
181,Alex Merkin
182,Alex Parkinson
183,Alex Proyas
184,Alex Ranarivelo
185,Alex Richanbach
186,Alex Smith
187,Alex Stapleton
188,Alex Timbers
189,Alex Winter
190,Alex Woo
191,Alex Zamm
192,Alexander Smith
193,Alexandra Dean
194,Alexandre Aja
195,Alexandre Avancini
196,Alexandre Espigares
197,Alexandre Heboyan
198,Alexandre Reinecke
199,Alexandros Avranas
200,Alexis Almström
201,Alexis Morante
202,Alexx Media
203,Alfons Adetuyi
204,Alfonso Arau
205,Alfonso Cortés-Cavanillas
206,Alfonso Cuarón
207,Alfonso Rodríguez
208,Alfonso Serrano Maturino
209,Alfred Gimeno
210,Ali Bin Matar
211,Ali F. Mostafa
212,Ali Kalthami
213,Ali Ragab
214,Ali Samadi Ahadi
215,Ali Scher
216,Ali Tabrizi
217,Ali Taner Baltacı
218,Ali Yorgancıoğlu
219,Alice Filippi
220,Alice Mathias
221,Alice Rohrwacher
222,Alice Waddington
223,Alice Wu
224,Alicky Sussman
225,Alik Sakharov
226,Alina Teodorescu
227,Alison E. Rose
228,Alison Klayman
229,Alison MacLean
230,Alistair Legrand
231,Alka Amarkant Dubey
232,Allan Jacobsen
233,Allan Ungar
234,Allen Coulter
235,Allen Hughes
236,Ally Pankiw
237,Alma Har'el
238,Almudena Carracedo
239,Almunsif Alsuwaisi
240,Alo Sarkar
241,Alphonso J. Wesson
242,Alê Abreu
243,Amaan Khan
244,Amal Neerad
245,Amalie Næsby Fick
246,Amanda Micheli
247,Amanda Raymond
248,Amandha Wyanto
249,Amar Gupte
250,Amar Kaushik
251,Amara Cash
252,Amardeep Singh Gill
253,Amarjit Virdi
254,Amarpreet G S Chabbra
255,Amber Tamblyn
256,Amin Dora
257,Amir Galvan Cervera
258,Amir Mohiuddin
259,Amit Barot
260,Amit Rai
261,Amit Roy
262,Amit Saxena
263,Amitabha Singh
264,Amitava Bhattacharya
265,Amitoj Mann
266,Amman Abbasi
267,Amol Palekar
268,Amr Arafa
269,Amr Salama
270,Amro Salah
271,Amshan Kumar
272,Amy Poehler
273,Amy Rice
274,Amy Schumer
275,Amy Segal
276,Ana Kokkinos
277,Ana Lily Amirpour
278,Ana Quiroga
279,Anand Kamalakar
280,Anand Ravichandran
281,Anand Tiwari
282,Anand Tucker
283,Ananda Krishnan
284,Anant Balani
285,Ananth Narayan Mahadevan
286,Anas Khan
287,Anatole Litvak
288,Andaç Haznedaroğlu
289,Anders Falck
290,Anders Sømme Hammer
291,Andibachtiar Yusuf
292,Andrea Arnold
293,Andrea Molaioli
294,Andreas Johnsen
295,Andreas Pichler
296,Andreas Prochaska
297,Andres Clariond
298,Andrew Bergman
299,Andrew Bujalski
300,Andrew C. Erin
301,Andrew Davis
302,Andrew Dean
303,Andrew Dominik
304,Andrew Douglas
305,Andrew Duncan
306,Andrew Fleming
307,Andrew Goth
308,Andrew J. Smith
309,Andrew Jenks
310,Andrew L. Schmidt
311,Andrew Lau Wai-Keung
312,Andrew Lau Wai-keung
313,Andrew Loo
314,Andrew Meier
315,Andrew Mogel
316,Andrew Nackman
317,Andrew Niccol
318,Andrew Renzi
319,Andrew Sandler
320,Andrew Slater
321,Andrew Stanton
322,Andrew Sullivan
323,Andrew Tan
324,Andrew Wessels
325,Andrucha Waddington
326,Andrzej Bartkowiak
327,André D'Elia
328,André Odendaal
329,André Øvredal
330,Andrés Beltrán
331,Andrés Couturier
332,Andrés Feddersen
333,Andy Caballero
334,Andy Capper
335,Andy Devonshire
336,Andy Fickman
337,Andy Goddard
338,Andy Serkis
339,Andy Tennant
340,Anees Bazmee
341,Ang Lee
342,Ange Basterga
343,Angel Kristi Williams
344,Angelika Sigl
345,Angelina Jolie
346,Angga Dwimas Sasongko
347,Anggy Umbara
348,Angshuman Ghosh
349,Aniedi Anwah
350,Anik Datta
351,Anil Sharma
352,Anil Thomas
353,Anil V. Kumar
354,Anindya Chatterjee
355,Anirban Majumder
356,Aniruddha Roy Chowdhury
357,Anissa Bonnefont
358,Anita Barbosa
359,Anita Udeep
360,Anjali Nayar
361,Anjum Shahzad
362,Ann Deborah Fishman
363,Anna Boden
364,Anna Elizabeth James
365,Anna Migotto
366,Anna Stone
367,Anna Wieczur-Bluszcz
368,Anne Fletcher
369,Anne Fontaine
370,Anneliese Vandenberg
371,Annie Clark
372,Anoop Sathyan
373,Anthony Abrams
374,Anthony Bell
375,Anthony Byrne
376,Anthony Caronna
377,Anthony Chan
378,Anthony D'Souza
379,Anthony Giordano
380,Anthony Lucero
381,Anthony Mandler
382,Anthony Minghella
383,Anthony Palmer
384,Anthony Pierce
385,Anthony Russo
386,Anthony Scott Burns
387,Anthony Veiller
388,Anthony Wonke
389,Antoine Bardou-Jacquet
390,Antoine Fuqua
391,Antoinette Jadaone
392,Anton Corbijn
393,Antoni Krauze
394,Antonin Baudry
395,Antonio Campos
396,Antonio Chavarrías
397,Antonio Díaz
398,Antonio Morabito
399,Antonio Piazza
400,Antonio Serrano
401,Anu Menon
402,Anubhav Sinha
403,Anurag Basu
404,Anurag Kashyap
405,Anurag Singh
406,Anuranjan Premji
407,Anurin Nwunembom
408,Anusha Rizvi
409,Anvita Dutt
410,Anél Stolp
411,Apirak Samudkitpaisan
412,Apoorva Lakhia
413,Appie Boudellah
414,April Mullen
415,Apurva Dhar Badgaiyann
416,Aram van de Rest
417,Arati Kadav
418,Archie Borders
419,Archie Hekagery
420,Ari Folman
421,Ari Levinson
422,Ari Sandel
423,Ariel Boles
424,Ariel Schulman
425,Ariel Vromen
426,Arjun Gourisaria
427,Arjun Jandyala
428,Armando Croda
429,Armando Iannucci
430,Arnab Chaudhuri
431,Arne Birkenstock
432,Arnon Manor
433,Arpan Sarkar
434,Artemis Joukowsky
435,Arthell Isom
436,Arthur Allan Seidelman
437,Arthur Muhammad
438,Arthur Penn
439,Arun Chidambaram
440,Arun Vaidyanathan
441,Aruna Raje
442,Arvind Swamy
443,Asghar Farhadi
444,Ash Brannon
445,Ashim Ahluwalia
446,Ashish R. Mohan
447,Ashish R. Shukla
448,Ashley York
449,Ashok Nanda
450,Ashraf Fayeq
451,Ashu Trikha
452,Ashutosh Gowariker
453,Ashwin Saravanan
454,Ashwiny Iyer Tiwari
455,Asif Kapadia
456,Asim Abbasi
457,Asim Raza
458,Asit Mohapatra
459,Asri Bendacha
460,Atanu Ghosh
461,Atanu Mukherjee
462,Atharv Baluja
463,Athiyan Athirai
464,Atlee Kumar
465,Atom Egoyan
466,Atsajun Sattakovit
467,Atsuko Ishizuka
468,Attila Till
469,Atul Kale
470,Atul Malhotra
471,Atul Sabharwal
472,Aubrey Powell
473,Audu Paden
474,August Jakobsson
475,Augustine Frizzell
476,Augusto Matte
477,Aurora Guerrero
478,Austin Kolodney
479,Austin Peck
480,Austin Stark
481,Ava DuVernay
482,Avadhoot Gupte
483,Avgousta Zourelidi
484,Avi Federgreen
485,Avinash Arun
486,Avinash Das
487,Avinash Walzade
488,Awi Suryadi
489,Axelle Laffont
490,Ayaan Mukherji
491,Ayman Makram
492,Aytaç Ağırlar
493,Ayumu Watanabe
494,Ayush Raina
495,Azazel Jacobs
496,Azfar Jafri
497,Aziz Ansari
498,Aziz Mirza
499,B. Subhash
500,B. T Thomas
501,B. Unnikrishnan
502,B. V. Nandini Reddy
503,B.N. Shajeer Sha
504,BB Sasore
505,Babak Anvari
506,Bagus Bramanti
507,Bahij Hojeij
508,Baljit Singh Deo
509,Baltasar Kormákur
510,Balu Mahendra
511,Banjong Pisanthanakun
512,Bao Nhan
513,Barak Goodman
514,Baran bo Odar
515,Barbara Białowąs
516,Barbara Kopple
517,Barbara Schroeder
518,Barbra Streisand
519,Barney Clay
520,Barry Avrich
521,Barry Gonzalez
522,Barry Jenkins
523,Barry Levinson
524,Barry Sonnenfeld
525,Bart Freundlich
526,Bartosz M. Kowalski
527,Bas van Teylingen
528,Basava Shankar Eeday
529,Bashir El Deek
530,Bassam Kurdali
531,Bassam Tariq
532,Basu Chatterjee
533,Bauddhayan Mukherji
534,Baz Luhrmann
535,Bedabrata Pain
536,Bedran Güzel
537,Beeban Kidron
538,Bejoy Nambiar
539,Ben A. Williams
540,Ben Bowie
541,Ben Brewer
542,Ben C. Lucas
543,Ben Falcone
544,Ben Foster
545,Ben Kasulke
546,Ben Nicholas
547,Ben Palmer
548,Ben Patterson
549,Ben Pluimer
550,Ben Ryder
551,Ben Shelton
552,Ben Simms
553,Ben Stassen
554,Ben Steele
555,Ben Wallis
556,Ben Wheatley
557,Ben Young
558,Ben Younger
559,Benedict Andrews
560,Benjamin Arfmann
561,Benjamin Cohen
562,Benjamin Dickinson
563,Benjamin Ree
564,Benjamin Ross
565,Benjamin Turner
566,Benjamin Weill
567,Benny Fine
568,Benny Fredman
569,Benny Safdie
570,Benoît Jacquot
571,Benoît Philippon
572,Benson Lee
573,Bent-Jorgen Perlmutt
574,Bernard Rose
575,Bernardo Arellano
576,Bernie Denk
577,Bert Marcus
578,Beth Sleven
579,Bette Gordon
580,Betty Thomas
581,Beyoncé Knowles-Carter
582,Bhagyaraj
583,Bharat Jain
584,Bharat Nalluri
585,Bhavik Thakore
586,Bhavin Wadia
587,Bhushan Patel
588,Bigflo & Oli
589,Bilal Lashari
590,Bill Condon
591,Bill D'Elia
592,Bill Guttentag
593,Bill Oliver
594,Bill Plympton
595,Bille August
596,Bille Woodruff
597,Billy Bob Thornton
598,Billy Corben
599,Billy Lyons
600,Billy Ray
601,Bin Bunluerit
602,Binayak Das
603,Binu Ulahhannan
604,Biodun Stephen
605,Birkan Pusa
606,Biswajeet Bora
607,Biyi Bandele
608,Björn Stein
609,Blair Hayes
610,Blair Simmons
611,Blake Harris
612,Blayne Weaver
613,Bo Burnham
614,Bo Welch
615,Bob Hercules
616,Bob Nelson
617,Bob Odenkirk
618,Bob Persichetti
619,Bob Rose
620,Bobby Farrelly
621,Bobby Roth
622,Bobcat Goldthwait
623,Bolanle Austen-Peters
624,Bong Joon Ho
625,Bonni Cohen
626,Borja Cobeaga
627,Brad Anderson
628,Brad Bird
629,Brad Furman
630,Brad Peyton
631,Brad Rothschild
632,Brad Silberling
633,Braden R. Duemmler
634,Bradley Parker
635,Bradley Walsh
636,Brandon Camp
637,Brandon Dickerson
638,Brandon Jeffords
639,Brandon Jones
640,Brandon Kimber
641,Brandon Oldenburg
642,Brandon Somerhalder
643,Brant Sersen
644,Brendan Byrne
645,Brendan Malloy
646,Brendan Toller
647,Brendon Marotta
648,Brent Bonacorso
649,Brent Dawes
650,Brent Maddock
651,Brett Donowho
652,Brett Haley
653,Brett Harvey
654,Brett Hedlund
655,Brett Ratner
656,Brett Weiner
657,Brett Whitcomb
658,Brian A. Miller
659,Brian Andrew Mendoza
660,Brian Baugh
661,Brian De Palma
662,Brian Helgeland
663,Brian Henson
664,Brian Klein
665,Brian Knappenberger
666,Brian Levant
667,Brian M. Conley
668,Brian McGinn
669,Brian Niles
670,Brian O'Malley
671,Brian Oakes
672,Brian Robbins
673,Brian Skiba
674,Brian Smith
675,Brian Smrz
676,Brian Volk-Weiss
677,Brian Webber
678,Briar Grace-Smith
679,Brie Larson
680,Brit McAdams
681,Brittany Andrews
682,Brodje Wemboendja
683,Brody Chu
684,Bronwen Hughes
685,Bruce Beresford
686,Bruce Gowers
687,Bruce Leddy
688,Bruce MacDonald
689,Bruce McCulloch
690,Bruce McDonald
691,Bruce Robinson
692,Bruce Sinofsky
693,Bruce W. Smith
694,Bruno Ascenzo
695,Bruno Garotti
696,Bruno Stagnaro
697,Bryan Bertino
698,Bryan Buckley
699,Bryan Fogel
700,Bryan Singer
701,Bryce Wagoner
702,Bryn Evans
703,Buchi Babu Sana
704,Buddhadev Dasgupta
705,Bumpy
706,Bunmi Ajakaiye
707,Burak Aksak
708,Burhan Qurbani
709,Burr Steers
710,Buta Singh
711,Buz Wallick
712,Buzz Kulik
713,Byeon Hee-sun
714,Byron Howard
715,Byun Hyuk
716,C. Fitz
717,C.J. Wallis
718,Cai Cong
719,Caio Cobra
720,Cal Brunker
721,Cal Saville
722,Cal Seville
723,Callie Khouri
724,Camilla Nielsson
725,Camille Delamarre
726,Camille Shooshani
727,Can Ulkay
728,Caradog W. James
729,Carey McKenzie
730,Carla Barros
731,Carles Torras
732,Carlo Padial
733,Carlos Algara
734,Carlos Bolado
735,Carlos Marques-Marcet
736,Carlos Moreno
737,Carlos Morett
738,Carlos Pérez Osorio
739,Carlos Sedes
740,Carlos Sorín
741,Carlos Therón
742,Carlos Vermut
743,Carly Stone
744,Carol Reed
745,Caroline Suh
746,Caroline Sá
747,Cary Joji Fukunaga
748,Cary Murnion
749,Caryn Waechter
750,Casey Suchan
751,Cassi Simonds
752,Cassia Dian
753,Castille Landon
754,Cate Shortland
755,Catherine Hardwicke
756,Cathy Garcia-Molina
757,Catrin Einhorn
758,Cavi Borges
759,Cecilia Atán
760,Cecilia Peck
761,Cecilia Verheyden
762,Cedric Nicolas-Troyan
763,Cem Yılmaz
764,Chad Archibald
765,Chad Hartigan
766,Chad L. Scheifele
767,Chad Van De Keere
768,Chairun Nissa
769,Chaitanya Tamhane
770,Chakri Toleti
771,Chan-sang Lim
772,Chanda Bell
773,Chandan Arora
774,Chandra Liow
775,Chandra Prakash Dwivedi
776,Chandrakant Kanse
777,Chandrakant Kulkarni
778,Chandran Narikode
779,Chang Chin-jung
780,Chang-Min Lee
781,Chanon Yingyong
782,Chapman Way
783,Charles A. Nichols
784,Charles Gozali
785,Charles Martin
786,Charles Martin Smith
787,Charles Officer
788,Charles Stone III
789,Charles Uwagbai
790,Charles Walters
791,Charlie Haskell
792,Charlie Kaufman
793,Charlie Lightening
794,Charlie McDowell
795,Charlie Siskel
796,Charlie Vaughn
797,Charlotte Zwerin
798,Charneice Fox
799,Chatchai Katenut
800,Chayanop Boonprakob
801,Che Sandoval
802,Cheang Pou Soi
803,Cheewatan Pusitsuksa
804,Cheh Chang
805,Chen Hung-yi
806,Chen Kuan-chung
807,Chen Rong-hui
808,Cheng Wei-hao
809,Chester Tam
810,Cheta Chukwu
811,Chi Fat Chan
812,Chi Keung Fung
813,Chia Tang
814,Chia-Liang Liu
815,Chiaki Kon
816,Chico Pereira
817,Chike
818,Chinaza Onuzo
819,Chineze Anyaene
820,Chito S. Roño
821,Chiwetel Ejiofor
822,Cho Il
823,Cho Li
824,Choi Jin-seong
825,Chow Hin Yeung Roy
826,Chow Kwun-wai
827,Chris Appelhans
828,Chris Baugh
829,Chris Bell
830,Chris Blake
831,Chris Bolan
832,Chris Bouchard
833,Chris Bould
834,Chris Buck
835,Chris Burkard
836,Chris Butler
837,Chris Columbus
838,Chris Eigeman
839,Chris Eneng Enaji
840,Chris Foggin
841,Chris Gorak
842,Chris Howe
843,Chris Jenkins
844,Chris Kelly
845,Chris Koch
846,Chris McCoy
847,Chris Miller
848,Chris Moukarbel
849,Chris Nahon
850,Chris Nelson
851,Chris Perkel
852,Chris Renaud
853,Chris Robinson
854,Chris Rock
855,Chris Roland
856,Chris Sanders
857,Chris Sivertson
858,Chris Smith
859,Chris Sparling
860,Chris Stokes
861,Chris Weitz
862,Chris Williams
863,Christel Gibson
864,Christian Alvart
865,Christian Charles
866,Christian De Vita
867,Christian Desmares
868,Christian Ditter
869,Christian Duguay
870,Christian E. Christiansen
871,Christian Gudegast
872,Christian Herrendoerfer
873,Christian Schwochow
874,Christian Tureaud
875,Christian Zübert
876,Christina Clusiau
877,Christine Luby
878,Christophe Charrier
879,Christophe Honoré
880,Christopher Alender
881,Christopher Amos
882,Christopher Cain
883,Christopher Caldwell
884,Christopher Chambers
885,Christopher Guest
886,Christopher Loren Ewers
887,Christopher Louie
888,Christopher Martin
889,Christopher Miller
890,Christopher Murray
891,Christopher Nolan
892,Christopher Nolen
893,Christopher Ray
894,Christopher S. Rech
895,Christopher Smith
896,Christopher Storer
897,Chuang Shiang-an
898,Chuck Russell
899,Chun Wong
900,Chung Mong-hong
901,Ciarán Foy
902,Claire McCarthy
903,Claire Scanlon
904,Clara Martínez-Lázaro
905,Clarence Yiu-leung Fok
906,Clark Johnson
907,Claude Barras
908,Claude Lelouch
909,Claus Wehlisch
910,Clay Glen
911,Clay Kaytis
912,Clay Porter
913,Clay Staub
914,Clay Tweel
915,Clementine Malpas
916,Clint Butler
917,Clint Eastwood
918,Clive Tonge
919,Clovis Cornillac
920,Cody Cameron
921,Cody Stokes
922,Coerte Voorhees
923,Cole D. Pruitt
924,Colin Dench
925,Colin Minihan
926,Colin Strause
927,Colin Teague
928,Colin Trevorrow
929,Conor Allyn
930,Conrad Helten
931,Conrad Vernon
932,Constance Marks
933,Coodie
934,Cooper Karl
935,Corbin Bernsen
936,Corey Grant
937,Corey Yuen
938,Cory Edwards
939,Cosima Spender
940,Cosmo Feilding-Mellen
941,Cosmo Segurson
942,Courtney Hunt
943,Craig Anderson
944,Craig Brewer
945,Craig Elrod
946,Craig Freimond
947,Craig Gillespie
948,Craig Goodwill
949,Craig Johnson
950,Craig Moss
951,Cris D'Amato
952,Cristi Puiu
953,Cristina Costantini
954,Cristina Jacob
955,Crystal Moselle
956,Curro Velázquez
957,Curtis Graham
958,Curtis Hanson
959,Cyrus Nowrasteh
960,Cyrus Saidi
961,Cédric Jimenez
962,Célia Catunda
963,César Rodrigues
964,Cüneyt Kaya
965,D Ho
966,D.B. Weiss
967,DJ Chen
968,Daan Jansen
969,Dado C. Lumibao
970,Daisuke Nishio
971,Daito Manabe
972,Dallas Jackson
973,Dallas Jenkins
974,Damani Baker
975,Damien Chazelle
976,Damien Leone
977,Damien O’Connor
978,Damien Piscarel
979,Damián Romay
980,Damon Cardasis
981,Damon Davis
982,Dan Forgione
983,Dan Forrer
984,Dan Fraga
985,Dan Gilroy
986,Dan Harris
987,Dan Krauss
988,Dan Kuenster
989,Dan Kwan
990,Dan Lucchesi
991,Dan Villegas
992,Dana Doron
993,Dana Nachman
994,Dani Levy
995,Dani de la Orden
996,Dani de la Torre
997,Daniel Ablin
998,Daniel Alfredson
999,Daniel Arasanz
1000,Daniel Benmayor
1001,Daniel Burman
1002,Daniel Calparsoro
1003,Daniel Camenisch
1004,Daniel DiMauro
1005,Daniel Effiong
1006,Daniel Espinosa
1007,Daniel Goldhaber
1008,Daniel Gordon
1009,Daniel Gray Longino
1010,Daniel J. Clark
1011,Daniel Joseph
1012,Daniel Kontur
1013,Daniel Lee
1014,Daniel Lindsay
1015,Daniel Mann
1016,Daniel Markowicz
1017,Daniel McCabe
1018,Daniel Minahan
1019,Daniel Monzón
1020,Daniel Noah
1021,Daniel Oriahi
1022,Daniel Prochaska
1023,Daniel Raim
1024,Daniel Růžička
1025,Daniel Sandu
1026,Daniel Schechter
1027,Daniel Scheinert
1028,Daniel Stamm
1029,Daniel Sánchez Arévalo
1030,Daniel Vernon
1031,Daniel Wilner
1032,Daniel Yee Heng Chan
1033,Daniela Goggi
1034,Daniele Thompson
1035,Danish Aslam
1036,Danishka Esterhazy
1037,Danny Boyle
1038,Danny Cannon
1039,Danny J. Boyle
1040,Danny Leiner
1041,Dante Lam
1042,Dar Gai
1043,Dare Olaitan
1044,Darin Scott
1045,Darragh O'Connell
1046,Darren Grant
1047,Darren Lynn Bousman
1048,Daryl Hannah
1049,Dash Shaw
1050,Datta Mohan Bhandare
1051,Dava Whisenant
1052,Dave Dorsey
1053,Dave Green
1054,Dave Higby
1055,Dave Needham
1056,Dave Patten
1057,Dave Skinner
1058,David 'Tosh' Gitonga
1059,David A. Vargas
1060,David Allensworth
1061,David Alvarado
1062,David Ayer
1063,David Batra
1064,David Batty
1065,David Beier
1066,David Benioff
1067,David Benullo
1068,David Blair
1069,David Briggs
1070,David Bruckner
1071,David Cantolla
1072,David Charhon
1073,David Chirchirillo
1074,David Chuang
1075,David Cronenberg
1076,David Dhawan
1077,David Dietz
1078,David Dobkin
1079,David E. Talbert
1080,David Fairhead
1081,David Feiss
1082,David Felix Sutcliffe
1083,David Fincher
1084,David France
1085,David Frankel
1086,David Galán Galindo
1087,David Gelb
1088,David Gordon Green
1089,David Grossman
1090,David Guy Levy
1091,David Hackl
1092,David Hebditch
1093,David Hunt
1094,David Johndrow
1095,David Koepp
1096,David L. Cunningham
1097,David L.G. Hughes
1098,David LaChapelle
1099,David Lam
1100,David Lean
1101,David Lee Miller
1102,David Leveaux
1103,David Lowery
1104,David Lynch
1105,David M. Rosenthal
1106,David Mackenzie
1107,David Marmor
1108,David McCracken
1109,David Michôd
1110,David Mirkin
1111,David Moreton
1112,David Morris
1113,David Mrnka
1114,David O. Russell
1115,David Oelhoffen
1116,David Oyelowo
1117,David Pablos
1118,David Pastor
1119,David Paul Meyer
1120,David R. Ellis
1121,David Raynr
1122,David Salzberg
1123,David Sampliner
1124,David Schalko
1125,David Serrano
1126,David Shisgall
1127,David Silberg
1128,David Sington
1129,David Slade
1130,David Soren
1131,David Stubbs
1132,David Tryhorn
1133,David Wain
1134,David Wnendt
1135,David Yarovesky
1136,David Zeiger
1137,David Zucker
1138,David de Vos
1139,Davis Guggenheim
1140,Dawn Porter
1141,Dean Craig
1142,Dean DeBlois
1143,Dean Parisot
1144,Dean Wellins
1145,Dean Wright
1146,Deane Taylor
1147,Debaloy Dey
1148,Debamitra Biswal
1149,Debbie Allen
1150,Deborah Kaplan
1151,Debra Granik
1152,Dee Rees
1153,Deep Joshi
1154,Deepa Mehta
1155,Deepika Narayan Bhardwaj
1156,Deepti Kakkar
1157,Deepti Naval
1158,Dejan Zečević
1159,Delhiprasad Deenadayalan
1160,Demetri Martin
1161,Denis Do
1162,Denis Hennelly
1163,Denis Villeneuve
1164,Deniz Gamze Ergüven
1165,Dennie Gordon
1166,Dennis Bartok
1167,Dennis Dugan
1168,Dennis Iliadis
1169,Dennis Rovira van Boekholt
1170,Dennis Scholl
1171,Dennis Widmyer
1172,Denny Lu
1173,Derek Cianfrance
1174,Derek Hui
1175,Derek Peck
1176,Derek Yee
1177,Derick Cabrido
1178,Desingh Periyasamy
1179,Destin Daniel Cretton
1180,Detlev Buck
1181,Devaki Singh
1182,Devashish Makhija
1183,Devika Bhagat
1184,Devin Chanda
1185,Dhanush
1186,Dharmendra Suresh Desai
1187,Dharmesh Darshan
1188,Dheeraj Berry
1189,Dhilip Kumar
1190,Dhruv Dhawan
1191,Dian Sastrowardoyo
1192,Dianne Dreyer
1193,Dibakar Banerjee
1194,Diego Cohen
1195,Diego Corsini
1196,Diego Enrique Osorno
1197,Diego Kaplan
1198,Diego Lerman
1199,Diego Luna
1200,Diego Pignataro
1201,Digo Ricio
1202,Dileep Narayanan
1203,Dilip Mehta
1204,Dimitri Logothetis
1205,Ding Sheng
1206,Ding-Lin Wang
1207,Dino Risi
1208,Dirk Laabs
1209,Dito Montiel
1210,Doesjka van Hoogdalem
1211,Dolapo Adeleke
1212,Domenico de Feudis
1213,Dominic Sena
1214,Don Argott
1215,Don Bluth
1216,Don Hardy Jr.
1217,Don Mancini
1218,Don Michael Paul
1219,Don Omope
1220,Donald Petrie
1221,Donick Cary
1222,Donovan Marsh
1223,Dorian Fernández-Moris
1224,Doron Paz
1225,Doug Hamilton
1226,Doug Lefler
1227,Doug McHenry
1228,Douglas Attal
1229,Douglas McGrath
1230,Drake Doremus
1231,Drea Cooper
1232,Drew Casson
1233,Drew Heriot
1234,Drew Stone
1235,Drue Metz
1236,Duncan Jones
1237,Duncan McMath
1238,Duncan Skiles
1239,Dustin Hoffman
1240,Dustin McKenzie
1241,Dustin Nguyen
1242,Dylan Bank
1243,Dylan C. Brown
1244,Dylan Haegens
1245,Dylan Howitt
